City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,lodja,-3.4833,23.4333,20.63,96,99,0.37,CD,1706916945
303,yoko,5.5333,12.3167,18.88,30,9,2.12,CM,1706916945
304,minas de marcona,-15.2119,-75.1103,19.29,78,70,4.54,PE,1706916945
305,whitehorse,60.7161,-135.0538,-21.5,48,40,2.57,CA,1706916745
306,irece,-11.3042,-41.8558,21.71,80,92,4.0,BR,1706916945
307,leh,34.1667,77.5833,-13.45,46,93,0.8,IN,1706916945
308,slave lake,55.2834,-114.769,0.99,93,40,2.57,CA,1706916946
309,severo-yeniseyskiy,60.3725,93.0408,-25.79,100,79,1.34,RU,1706916946
310,ta`u,-14.2336,-169.5144,28.22,80,98,7.89,AS,1706916946
311,mcminnville,45.2101,-123.1987,13.71,71,75,3.6,US,1706916946
312,east london,-33.0153,27.9116,23.61,86,99,7.75,ZA,1706916946
313,korla,41.7597,86.1469,-6.29,87,57,3.07,CN,1706916946
314,dryden,49.7833,-92.7503,-0.84,74,20,1.54,CA,1706916947
315,praia da vitoria,38.7333,-27.0667,17.14,88,75,5.63,PT,1706916947
316,port shepstone,-30.7414,30.455,23.08,85,71,9.12,ZA,1706916947
317,vadso,70.0744,29.7487,-4.91,86,100,5.66,NO,1706916947
318,alice springs,-23.7,133.8833,31.79,13,100,2.57,AU,1706916686
319,gracemere,-23.4333,150.45,29.95,58,0,1.03,AU,1706916947
320,new norfolk,-42.7826,147.0587,19.84,27,4,2.49,AU,1706916948
321,cabo san lucas,22.8909,-109.9124,25.17,64,20,9.26,MX,1706916948
322,ust-nera,64.5667,143.2,-30.48,100,100,0.34,RU,1706916948
323,luganville,-15.5333,167.1667,25.85,85,100,2.97,VU,1706916948
324,oppdal,62.5943,9.6912,2.7,82,91,11.15,NO,1706916948
325,afaahiti,-17.75,-149.2833,28.93,72,100,3.46,PF,1706916948
326,dzuunmod,48.2199,97.3744,-19.92,69,99,2.42,MN,1706916948
327,horta,38.5333,-28.6333,16.68,89,81,1.79,PT,1706916949
328,lihue,21.9789,-159.3672,25.58,60,20,11.32,US,1706916949
329,hami,42.8,93.45,-3.24,57,100,3.5,CN,1706916949
330,gulf shores,30.246,-87.7008,16.03,69,0,2.57,US,1706916949
331,taseyevo,57.2169,94.8978,-22.59,99,87,1.34,RU,1706916949
332,mahalapye,-23.1041,26.8142,19.72,66,63,3.6,BW,1706916949
333,ilovlya,49.3033,43.9796,-1.87,85,93,6.4,RU,1706916950
334,nyurba,63.2842,118.3319,-28.2,96,94,2.35,RU,1706916950
335,saposoa,-6.934,-76.7716,25.25,85,97,0.77,PE,1706916950
336,semey,50.4111,80.2275,-12.38,85,77,4.35,KZ,1706916950
337,salinas,36.6777,-121.6555,15.35,65,75,6.17,US,1706916889
338,ibotirama,-12.1853,-43.2206,23.71,84,100,0.73,BR,1706916950
339,kokpekty,48.75,82.4,-19.9,100,85,1.32,KZ,1706916950
340,quatis,-22.4072,-44.2581,20.54,98,100,0.86,BR,1706916951
341,benevides,-1.3614,-48.2447,26.89,98,100,0.5,BR,1706916951
342,kayangel,8.0823,134.7173,27.39,83,94,9.64,PW,1706916951
343,ambon,-3.6954,128.1814,29.08,79,40,1.54,ID,1706916670
344,khovd,48.0056,91.6419,-20.16,95,100,0.68,MN,1706916951
345,puerto baquerizo moreno,-0.9,-89.6,25.66,85,84,5.28,EC,1706916951
346,tete,-16.1564,33.5867,25.05,73,40,2.06,MZ,1706916952
347,pariaman,-0.619,100.12,25.03,92,99,0.71,ID,1706916952
348,puerto deseado,-47.7503,-65.8938,21.85,25,12,17.12,AR,1706916683
349,laascaanood,8.4774,47.3597,20.05,66,48,2.81,SO,1706916952
350,helena valley west central,46.6629,-112.0604,10.49,67,100,0.0,US,1706916952
351,tchintabaraden,15.8969,5.7985,16.38,20,56,4.61,NE,1706916952
352,recani,31.2846,-4.2688,10.46,23,0,1.45,MA,1706916952
353,susuman,62.7833,148.1667,-33.34,100,94,1.34,RU,1706916953
354,tamandare,-8.7597,-35.1047,26.7,73,89,3.77,BR,1706916953
355,omutinskiy,56.4745,67.6709,-21.07,100,100,3.3,RU,1706916953
356,scottburgh,-30.2867,30.7532,22.09,86,17,6.91,ZA,1706916953
357,male,4.1748,73.5089,27.97,83,20,4.63,MV,1706916953
358,uribia,11.7139,-72.266,27.66,70,99,5.46,CO,1706916953
359,gebeit,21.0667,36.3167,10.42,65,52,1.82,SD,1706916953
360,ardmore,34.1743,-97.1436,16.88,86,100,7.2,US,1706916823
361,dawson creek,55.7666,-120.2362,3.8,81,0,1.03,CA,1706916954
362,murghob,38.1702,73.9667,-18.97,62,68,2.32,TJ,1706916954
363,buala,-8.145,159.5921,30.05,72,69,3.0,SB,1706916955
